Year,State,Domestic,Industrial,Irrigation,State_Index
2004,11,0.005,0.005,0.0,11
2004,16,0.51,0.51,13.88,16
2004,1,0.0,0.0,0.0008,1
2004,27,0.295,0.295,4.85,27
2004,5,0.685,0.685,9.39,5
2004,0,0.0,0.0,0.0,0
2004,22,0.24,0.24,2.31,22
2004,18,0.0035,0.0035,0.001,18
2004,31,0.001,0.001,0.007,31
2004,24,0.14,0.14,0.2,24
2004,30,0.015,0.015,0.04,30
2004,35,0.495,0.495,10.49,35
2004,17,0.175,0.175,9.1,17
2004,19,0.01,0.01,0.09,19
2004,21,0.12,0.12,0.1,21
2004,32,0.19,0.19,0.7,32
2004,20,0.485,0.485,9.75,20
2004,10,0.55,0.55,1.82,10
2004,8,0.001,0.001,0.0,8
2004,28,0.52,0.52,16.08,28
2004,12,0.425,0.425,14.24,12
2004,3,0.00025,0.00025,0.002,3
2004,23,0.001,0.001,0.0,23
2004,14,0.0002,0.0002,0.0,14
2004,29,0.0045,0.0045,0.0,29
2004,2,0.42,0.42,3.01,2
2004,7,0.015,0.015,0.121,7
2004,36,0.415,0.415,30.34,36
2004,4,0.695,0.695,11.6,4
2004,33,0.005,0.005,0.0,33
2004,34,0.44,0.44,16.77,34
2004,25,0.045,0.045,0.08,25
2004,13,1.71,1.71,45.36,13
2004,15,0.025,0.025,1.34,15
2004,26,0.405,0.405,10.84,26
2009,11,0.005,0.005,0.0006,11
2009,16,0.77,0.77,12.61,16
2009,1,0.0005,0.0005,0.002,1
2009,27,0.345,0.345,5.333,27
2009,5,0.78,0.78,9.79,5
2009,0,0.0,0.0,0.0,0
2009,22,0.26,0.26,3.08,22
2009,18,0.0035,0.0035,0.001,18
2009,31,0.0015,0.0015,0.008,31
2009,24,0.13,0.13,0.14,24
2009,30,0.015,0.015,0.014,30
2009,35,0.525,0.525,11.93,35
2009,17,0.36,0.36,11.71,17
2009,19,0.04,0.04,0.23,19
2009,21,0.29,0.29,0.15,21
2009,32,0.22,0.22,1.17,32
2009,20,0.5,0.5,9.01,20
2009,10,0.75,0.75,1.3,10
2009,8,0.0013,0.0013,0.0,8
2009,28,0.665,0.665,16.66,28
2009,12,0.52,0.52,15.91,12
2009,3,0.00035,0.00035,0.0033,3
2009,23,0.0001,0.0001,0.0015,23
2009,14,0.0002,0.0002,0.0,14
2009,29,0.004,0.004,0.0,29
2009,2,0.445,0.445,3.47,2
2009,7,0.0145,0.0145,0.121,7
2009,36,0.345,0.345,33.97,36
2009,4,0.825,0.825,12.86,4
2009,33,0.0035,0.0035,0.003,33
2009,34,0.925,0.925,14.71,34
2009,25,0.035,0.035,0.09,25
2009,13,1.745,1.745,46.0,13
2009,15,0.015,0.015,1.01,15
2009,26,0.395,0.395,10.11,26
2011,11,0.006,0.006,0.001,11
2011,16,0.665,0.665,13.18,16
2011,1,0.0005,0.0005,0.002,1
2011,27,0.32,0.32,2.86,27
2011,5,0.85,0.85,10.25,5
2011,0,0.0,0.0,0.0,0
2011,22,0.31,0.31,3.43,22
2011,18,0.003,0.003,0.007,18
2011,31,0.001,0.001,0.014,31
2011,24,0.125,0.125,0.14,24
2011,30,0.015,0.015,0.01,30
2011,35,0.555,0.555,10.75,35
2011,17,0.355,0.355,12.35,17
2011,19,0.065,0.065,0.25,19
2011,21,0.305,0.305,0.2,21
2011,32,0.275,0.275,1.31,32
2011,20,0.41,0.41,8.59,20
2011,10,0.765,0.765,1.3,10
2011,8,0.00115,0.00115,0.0,8
2011,28,0.675,0.675,17.48,28
2011,12,0.515,0.515,16.15,12
2011,3,0.00035,0.00035,0.0033,3
2011,23,0.0001,0.0001,0.0015,23
2011,14,0.0005,0.0005,0.0,14
2011,29,0.015,0.015,0.0,29
2011,2,0.46,0.46,3.81,2
2011,7,0.0145,0.0145,0.124,7
2011,36,0.355,0.355,34.17,36
2011,4,0.855,0.855,13.13,4
2011,33,0.0045,0.0045,0.003,33
2011,34,0.88,0.88,13.17,34
2011,25,0.0345,0.0345,0.093,25
2011,13,2.02,2.02,48.74,13
2011,15,0.015,0.015,1.1,15
2011,26,0.485,0.485,9.72,26
2013,11,0.00175,0.00175,0.0,11
2013,16,0.405,0.405,7.29,16
2013,1,0.0035,0.0035,0.002,1
2013,27,0.34,0.34,4.06,27
2013,5,1.185,1.185,10.36,5
2013,0,0.0,0.0,0.008,0
2013,22,0.32,0.32,3.76,22
2013,18,0.0065,0.0065,0.008,18
2013,31,0.001,0.001,0.0,31
2013,24,0.125,0.125,0.14,24
2013,30,0.015,0.015,0.02,30
2013,35,0.57,0.57,12.3,35
2013,17,0.3,0.3,13.32,17
2013,19,0.055,0.055,0.16,19
2013,21,0.49,0.49,0.2,21
2013,32,0.36,0.36,0.63,32
2013,20,0.495,0.495,8.76,20
2013,10,0.725,0.725,1.18,10
2013,8,0.001185,0.001185,0.124,8
2013,28,0.705,0.705,17.95,28
2013,12,0.57,0.57,15.93,12
2013,3,0.0005,0.0005,0.004,3
2013,23,0.002,0.002,0.008,23
2013,14,0.00052,0.00052,0.0,14
2013,29,0.015,0.015,0.0,29
2013,2,0.435,0.435,4.14,2
2013,7,0.0145,0.0145,0.139,7
2013,36,0.385,0.385,34.05,36
2013,4,0.96,0.96,13.79,4
2013,33,0.0,0.0,0.0,33
2013,34,0.69,0.69,12.98,34
2013,6,0.38,0.38,7.0,6
2013,25,0.036,0.036,0.093,25
2013,13,2.205,2.205,48.35,13
2013,15,0.075,0.075,0.84,15
2013,26,0.5,0.5,10.84,26
2017,11,0.01,0.0,0.0,11
2017,16,0.9,0.14,7.85,16
2017,1,0.01,0.0,0.0,1
2017,27,0.69,0.06,1.97,27
2017,5,1.83,0.66,10.78,5
2017,0,0.03,0.0,0.0,0
2017,22,0.67,0.05,3.98,22
2017,18,0.01,0.0,0.01,18
2017,31,0.0,0.0,0.01,31
2017,24,0.24,0.02,0.09,24
2017,30,0.03,0.0,0.02,30
2017,35,0.63,0.11,12.84,35
2017,17,0.63,0.34,11.53,17
2017,19,0.19,0.0,0.2,19
2017,21,0.5,0.07,0.2,21
2017,32,0.56,0.22,0.8,32
2017,20,0.95,0.0,9.39,20
2017,10,1.44,0.01,1.22,10
2017,8,0.002,0.0,0.0,8
2017,28,1.24,0.22,17.43,28
2017,12,1.22,0.003,15.1,12
2017,3,0.0,0.0,0.0,3
2017,23,0.01,0.0,0.03,23
2017,14,0.01,0.0,0.0,14
2017,29,0.02,0.0,0.0,29
2017,2,1.15,0.14,5.28,2
2017,7,0.04,0.0,0.11,7
2017,36,1.01,0.2,34.56,36
2017,4,1.92,0.0,14.85,4
2017,33,0.0,0.0,0.0,33
2017,34,1.67,0.0,13.06,34
2017,6,1.0,0.0,7.09,6
2017,25,0.08,0.0,0.02,25
2017,13,4.95,0.0,40.89,13
2017,15,0.22,0.13,1.3,15
2017,26,1.0,0.0,10.84,26
2020,11,0.01,0.001,0.0001,11
2020,16,0.88,0.15,6.6,16
2020,1,0.01,0.0002,0.003,1
2020,27,0.6,0.01,1.97,27
2020,5,2.04,0.65,10.33,5
2020,0,0.03,0.002,0.01,0
2020,22,0.71,0.1,4.53,22
2020,18,0.02,0.01,0.01,18
2020,31,0.0,0.03,0.003,31
2020,24,0.18,0.04,0.07,24
2020,30,0.05,0.004,0.02,30
2020,35,0.62,0.03,12.65,35
2020,17,0.62,0.53,10.47,17
2020,19,0.1,0.05,0.2,19
2020,21,0.56,0.13,0.2,21
2020,32,0.51,0.2,0.93,32
2020,20,1.03,0.0,9.6,20
2020,10,1.47,0.01,1.16,10
2020,9,0.02,0.0002,0.001,9
2020,8,0.003,0.0,0.0,8
2020,28,1.61,0.03,17.33,28
2020,12,1.34,0.003,15.29,12
2020,3,0.02,0.0002,0.003,3
2020,23,0.05,0.0003,0.03,23
2020,14,0.01,0.0,0.0,14
2020,29,0.02,3e-05,0.002,29
2020,2,1.21,0.15,5.5,2
2020,7,0.05,0.01,0.1,7
2020,36,1.05,0.0,32.8,36
2020,4,2.14,0.13,14.37,4
2020,33,0.01,0.002,0.0,33
2020,34,0.99,0.17,13.52,34
2020,6,0.73,0.14,7.13,6
2020,25,0.08,0.0002,0.02,25
2020,13,4.74,0.0,41.29,13
2020,15,0.15,0.09,0.63,15
2020,26,0.73,0.27,10.84,26
2022,11,0.0065,0.001,0.0001,11
2022,16,0.83,0.16,6.46,16
2022,1,0.01,0.01,0.02,1
2022,27,0.58,0.01,2.06,27
2022,5,3.14,0.35,10.01,5
2022,0,0.03,0.002,0.01,0
2022,22,0.73,0.11,4.62,22
2022,18,0.01,0.09,0.01,18
2022,31,0.0,0.055,0.003,31
2022,24,0.2716,0.0007,0.0904,24
2022,30,0.048,0.004,0.026,30
2022,35,0.82,0.16,12.1,35
2022,17,0.65,0.6,10.3,17
2022,19,0.12,0.05,0.18,19
2022,21,0.71,0.05,0.31,21
2022,32,0.65,0.21,0.93,32
2022,20,1.09,0.13,10.01,20
2022,10,1.55,0.01,1.17,10
2022,9,0.03,0.0002,0.00037,9
2022,8,0.0,0.0,0.0,8
2022,28,1.69,0.17,17.39,28
2022,12,1.35,0.003,15.29,12
2022,3,0.02,0.0002,0.02,3
2022,23,0.05,0.0007,0.003,23
2022,14,0.01,0.0,0.0,14
2022,29,0.02,2e-05,0.002,29
2022,2,1.24,0.16,5.83,2
2022,7,0.05,0.01,0.08,7
2022,36,1.17,0.16,26.69,36
2022,4,2.23,0.14,14.18,4
2022,33,0.0036,0.0022,0.0089,33
2022,34,0.57,0.18,13.68,34
2022,6,0.596,0.154,7.257,6
2022,25,0.08,0.0007,0.02,25
2022,13,5.01,0.41,40.72,13
2022,15,0.15,0.12,0.63,15
2022,26,1.54,0.14,8.38,26
2023,11,0.007,0.001,0.0001,11
2023,16,0.9,0.14,6.44,16
2023,1,0.01,0.0003,0.01,1
2023,27,0.55,0.01,2.06,27
2023,5,3.26,0.37,10.13,5
2023,0,0.026,0.002,0.008,0
2023,22,0.75,0.13,4.87,22
2023,18,0.01,0.09,0.01,18
2023,31,0.0,0.055,0.003,31
2023,24,0.26,0.0007,0.08,24
2023,30,0.038,0.005,0.025,30
2023,35,0.84,0.17,12.13,35
2023,17,0.62,0.62,10.55,17
2023,19,0.12,0.05,0.18,19
2023,21,0.71,0.05,0.32,21
2023,32,0.65,0.21,0.94,32
2023,20,1.1,0.13,10.09,20
2023,10,1.59,0.01,1.12,10
2023,9,0.03,0.0002,0.0,9
2023,8,0.003,0.0,0.0,8
2023,28,1.72,0.17,17.4,28
2023,12,1.36,0.03,15.28,12
2023,3,0.02,0.0002,0.017,3
2023,23,0.04,0.0003,0.02,23
2023,14,0.01,0.0,0.0,14
2023,29,0.02,2e-05,0.00227,29
2023,2,1.25,0.18,5.96,2
2023,7,0.05,0.01,0.07,7
2023,36,1.18,0.24,26.39,36
2023,4,2.31,0.13,14.3,4
2023,33,0.002,0.001,0.009,33
2023,34,0.79,0.15,13.48,34
2023,6,0.49,0.35,7.24,6
2023,25,0.08,0.0003,0.03,25
2023,13,5.04,0.44,40.92,13
2023,15,0.17,0.12,0.67,15
2023,26,1.57,0.15,8.99,26
